2020-05-12 21:13:53,089;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,103;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,116;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,130;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,145;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,159;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,174;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,190;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,210;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,226;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,242;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,261;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,276;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,293;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,307;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,320;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,334;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,348;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,364;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,380;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,395;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,410;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,424;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,440;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,457;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,471;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,486;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,501;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,516;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,532;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,547;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,560;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,574;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,587;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,600;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,612;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,625;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,637;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
